Section,X,Y,Z,Result
1,80.5,6.25,-47.5,0.0389663
1,80.5,6.25,-42.5,0.0408318
1,80.5,6.25,-37.5,0.0413232
1,80.5,6.25,-32.5,0.0435651
1,80.5,6.25,-27.5,0.0420888
1,80.5,6.25,-22.5,0.0448378
1,80.5,6.25,-17.5,0.043645
1,80.5,6.25,-12.5,0.0683548
1,80.5,6.25,-7.5,0.0587327
1,80.5,6.25,-2.5,0.0669003
1,80.5,6.25,2.5,0.068278
1,80.5,6.25,7.5,0.0882732
1,80.5,6.25,12.5,0.07361
1,80.5,6.25,17.5,0.0763112
1,80.5,6.25,22.5,0.0611531
1,80.5,6.25,27.5,0.0475488
1,80.5,6.25,32.5,0.0505494
1,80.5,6.25,37.5,0.0541448
1,80.5,6.25,42.5,0.0580563
1,80.5,6.25,47.5,0.0417382
2,80.75904306,6.25,57.49301279,0.0427221
2,82.82397188,6.25,72.33609305,0.0396776
2,86.91443657,6.25,86.75306435,0.0294261
2,92.95240272,6.25,100.468892,0.0266305
2,100.8226832,6.25,113.221917,0.0240457
2,110.3751354,6.25,124.7688482,0.0224096
2,121.4275258,6.25,134.8894029,0.0204476
2,133.7690064,6.25,143.3905099,0.0178002
2,147.1641368,6.25,150.1099923,0.0256744
2,161.3573763,6.25,154.9196614,0.0219411
2,176.7550822,6.25,157.8068272,0.0291958
2,191.7266154,6.25,158.4657345,0.0272131
2,206.6461324,6.25,157.0554249,0.017998
2,221.2290116,6.25,153.6028031,0.0145974
2,235.1970531,6.25,148.1737352,0.0249047
2,248.2837866,6.25,140.8717923,0.0257323
2,260.2395545,6.25,131.8362748,0.017124
2,270.8362748,6.25,121.2395545,0.0230778
2,279.8717923,6.25,109.2837866,0.0236416
2,287.1737352,6.25,96.19705313,0.0228835
3,296.130733,6.25,75.25710836,0.0129535
3,298.8214362,6.25,67.47222133,0.0147415
3,301.2168137,6.25,59.59145258,0.00912139
3,303.3134617,6.25,51.62600111,0.0207241
3,305.1084006,6.25,43.58718627,0.0248224
3,306.3718576,6.25,36.84037124,0.0186025
3,307.6073503,6.25,28.69679049,0.0307899
3,308.5350322,6.25,20.51243003,0.0152511
3,309.1535848,6.25,12.29892029,0.0210547
3,309.4621293,6.25,4.067933111,0.0243943
3,309.4602271,6.25,-4.168834825,0.0207169
3,309.147881,6.25,-12.39967862,0.0227493
3,308.5255348,6.25,-20.61290179,0.0123672
3,307.5940729,6.25,-28.7968329,0.00848944
3,306.354819,6.25,-36.93984214,0.0185004
3,305.0882459,6.25,-43.68607289,0.0397523
3,303.2895943,6.25,-51.72405784,0.0172783
3,301.1892675,6.25,-59.68854006,0.0266736
3,298.7902503,6.25,-67.56820161,0.01097
3,296.0959518,6.25,-75.35184505,0.0184205
4,287.1844012,6.25,-96.17437992,0.0143574
4,279.8854808,6.25,-109.2627993,0.024203
4,270.8527245,6.25,-121.2206535,0.0134775
4,260.2584517,6.25,-131.8198208,0.0146474
4,248.3047707,6.25,-140.8580991,0.0116949
4,235.2197239,6.25,-148.1630639,0.0232785
4,221.2529365,6.25,-153.5953575,0.0151272
4,206.6708551,6.25,-157.0513469,0.0209088
4,191.7516641,6.25,-158.465102,0.013885
4,176.7799792,6.25,-157.8096521,0.0349203
4,161.3816069,6.25,-154.9260423,0.0332841
4,147.1872571,6.25,-150.1196511,0.0376134
4,133.7905752,6.25,-143.4032623,0.0412866
4,121.4471318,6.25,-134.9050057,0.026385
4,110.3924044,6.25,-124.7870036,0.036666
4,100.8372858,6.25,-113.2422788,0.0267064
4,92.96406044,6.25,-100.4910716,0.0330837
4,86.92292695,6.25,-86.77663874,0.0509365
4,82.82913295,6.25,-72.36061247,0.0470937
4,80.76077636,6.25,-57.51800948,0.0445885
